year,state,headingCode,heading,metricFOB
2023,Rio de Janeiro,2709,Óleos brutos de petróleo ou de minerais betuminosos,36958880020
2023,Mato Grosso,1201,"Soja, mesmo triturada",14945202450
2023,Pará,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",12983693035
2023,Minas Gerais,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",12914789396
2023,São Paulo,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",9713460313
2023,Mato Grosso,1005,Milho,7101007283
2023,Paraná,1201,"Soja, mesmo triturada",5993636621
2023,Goiás,1201,"Soja, mesmo triturada",5986037672
2023,Minas Gerais,0901,"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção",5543765730
2023,São Paulo,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",4952645642
2023,São Paulo,2709,Óleos brutos de petróleo ou de minerais betuminosos,4689933695
2023,Rio Grande do Sul,1201,"Soja, mesmo triturada",4074830484
2023,Mato Grosso do Sul,1201,"Soja, mesmo triturada",3963218166
2023,Mato Grosso,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,3919769560
2023,Paraná,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",3588009573
2023,Minas Gerais,1201,"Soja, mesmo triturada",3274602727
2023,São Paulo,1201,"Soja, mesmo triturada",3024254746
2023,São Paulo,8429,"Bulldozers, angledozers, niveladoras, raspo-transportadoras (scrapers), pás mecânicas, escavadoras, carregadoras e pás carregadoras, compactadores e rolos ou cilindros compressores, autopropulsores",2990437643
2023,Espírito Santo,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",2943050837
2023,São Paulo,8802,"Outros veículos aéreos (por exemplo: helicópteros, aviões); veículos espaciais (incluídos os satélites) e seus veículos de lançamento e veículos suborbitais",2813060434
2023,São Paulo,8703,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida",2452925633
2023,Pará,2603,Minérios de cobre e seus concentrados,2452707156
2023,Rio de Janeiro,7207,Produtos semimanufacturados de ferro ou aço não ligado,2432249949
2023,Bahia,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",2409647703
2023,Bahia,1201,"Soja, mesmo triturada",2390473308
2023,Rio Grande do Sul,2401,Tabaco não manufacturado; desperdícios de tabaco,2350800466
2023,São Paulo,2009,"Sumos de frutas (incluídos os mostos de uvas) ou de produtos hortícolas, não fermentados, sem adição de álcool, com ou sem adição de açúcar ou de outros edulcorantes",2272942674
2023,Minas Gerais,7202,Ferro-ligas,2258540421
2023,Maranhão,1201,"Soja, mesmo triturada",2173874137
2023,Rio de Janeiro,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",2034275490
2023,Paraná,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,1956607617
2023,Santa Catarina,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",1946581157
2023,Mato Grosso,5201,"Algodão, não cardado nem penteado",1923012147
2023,Tocantins,1201,"Soja, mesmo triturada",1908422871
2023,Mato Grosso,0202,"Carnes de animais da espécie bovina, congeladas",1891672822
2023,Minas Gerais,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",1887388972
2023,São Paulo,0202,"Carnes de animais da espécie bovina, congeladas",1884758918
2023,Rio Grande do Sul,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,1825249464
2023,Pará,2818,"Corindo artificial, quimicamente definido ou não; óxido de alumínio; hidróxido de alumínio",1777391700
2023,Pará,1201,"Soja, mesmo triturada",1657078576
2023,Minas Gerais,7108,"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó",1593394656
2023,Espírito Santo,7207,Produtos semimanufacturados de ferro ou aço não ligado,1592626665
2023,São Paulo,8708,Partes e acessórios dos veículos automóveis das posições 8701 a 8705,1557284630
2023,Mato Grosso do Sul,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",1481585072
2023,Santa Catarina,0203,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas",1479301732
2023,São Paulo,8704,Veículos automóveis para transporte de mercadorias,1472795627
2023,Goiás,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,1410213974
2023,Rio Grande do Sul,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",1376777812
2023,São Paulo,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",1354605987
2023,Goiás,1005,Milho,1309893013
2023,São Paulo,2207,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico",1301265907
2023,Goiás,0202,"Carnes de animais da espécie bovina, congeladas",1283322752
2023,Paraná,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",1269016486
2023,Piauí,1201,"Soja, mesmo triturada",1265798089
2023,Minas Gerais,7201,"Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias",1250084278
2023,Paraná,1005,Milho,1210244853
2023,Rondônia,1201,"Soja, mesmo triturada",1140313476
2023,Maranhão,2818,"Corindo artificial, quimicamente definido ou não; óxido de alumínio; hidróxido de alumínio",1018608678
2023,Mato Grosso do Sul,1005,Milho,969127688
2023,São Paulo,8701,Tractores (exceto os da posição 8709),952296279
2023,Espírito Santo,0901,"Café, mesmo torrado ou descafeinado; cascas e películas de café; sucedâneos do café contendo café em qualquer proporção",914395959
2023,Mato Grosso do Sul,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",911833198
2023,Rio de Janeiro,2601,"Minérios de ferro e seus concentrados, incluídas as pirites de ferro ustuladas (cinzas de pirites)",910807488
2023,Bahia,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",905010430
2023,Minas Gerais,0202,"Carnes de animais da espécie bovina, congeladas",885058869
2023,Ceará,7207,Produtos semimanufacturados de ferro ou aço não ligado,873465901
2023,Rio Grande do Sul,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",832633251
2023,Santa Catarina,1201,"Soja, mesmo triturada",815829706
2023,Rondônia,0202,"Carnes de animais da espécie bovina, congeladas",794369818
2023,Espírito Santo,4703,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução",775484911
2023,Espírito Santo,6802,"Pedras de cantaria ou de construção (exceto de ardósia) trabalhadas e obras destas pedras, exceto as da posição 6801; cubos, pastilhas e artigos semelhantes, para mosaicos, de pedra natural (incluída a ardósia), mesmo com suporte; grânulos, fragmentos e",767435259
2023,Goiás,7202,Ferro-ligas,757324382
2023,Espírito Santo,2709,Óleos brutos de petróleo ou de minerais betuminosos,736229682
2023,Mato Grosso do Sul,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,715161775
2023,Paraná,1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados",715116285
2023,Bahia,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,707566297
2023,Alagoas,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",697374826
2023,São Paulo,4802,"Papel e cartão, não revestidos, dos tipos utilizados para escrita, impressão ou outros fins gráficos, e papel e cartão para fabricar cartões ou tiras perfurados, não perfurados, em rolos ou em folhas de forma quadrada ou rectangular, de qualquer formato o",681799424
2023,Mato Grosso do Sul,0202,"Carnes de animais da espécie bovina, congeladas",675330049
